# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1774at4891	Complete	h2tg000004l_path	120976	117929	-	1204.9	665	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	h2tg000004l_path	49640	52507	+	1058.2	739	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	h2tg000014l_path	150147	152624	+	609.3	583	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	h2tg000008l_path	279221	276222	-	333.0	504	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Fragmented	h2tg000005l_path	83037	81302	-	811.9	390	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	h2tg000006l_path	680911	678087	-	1478.8	847	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	h2tg000009l_path	419754	416573	-	582.7	705	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	h2tg000004l_path	1042665	1039772	-	681.4	564	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	h2tg000003l_path	526740	528988	+	1244.5	646	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	h2tg000010l_path	277570	279798	+	606.4	562	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Complete	h2tg000007l_path	39267	42313	+	1452.4	847	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	h2tg000009l_path	517758	520304	+	435.6	408	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	h2tg000006l_path	247688	251018	+	600.8	410	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	h2tg000012l_path	151060	147503	-	451.8	642	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	h2tg000001l_path	177498	174898	-	1222.4	638	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	h2tg000006l_path	341861	345079	+	1531.3	837	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	h2tg000013l_path	1287851	1283985	-	521.9	679	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	h2tg000009l_path	889835	886953	-	1066.2	787	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Fragmented	h2tg000006l_path	495809	493044	-	728.3	665	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	h2tg000006l_path	58135	55769	-	1163.1	634	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
